coord,wins, winprob
"(0,0)",8236,65.11%
"(1,0)",7962,62.94%
"(2,0)",7909,62.52%
"(3,0)",7962,62.94%
"(4,0)",8236,65.11%
"(0,1)",7962,62.94%
"(1,1)",8085,63.91%
"(2,1)",7727,61.08%
"(3,1)",8085,63.91%
"(4,1)",7962,62.94%
"(0,2)",7909,62.52%
"(1,2)",7727,61.08%
"(2,2)",7500,59.29%
"(3,2)",7727,61.08%
"(4,2)",7909,62.52%
"(0,3)",7962,62.94%
"(1,3)",8085,63.91%
"(2,3)",7727,61.08%
"(3,3)",8085,63.91%
"(4,3)",7962,62.94%
"(0,4)",8236,65.11%
"(1,4)",7962,62.94%
"(2,4)",7909,62.52%
"(3,4)",7962,62.94%
"(4,4)",8236,65.11%
